CountryName,CountryAbbrev,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Something
Angola ,ANG,,,,,,,,,,,,1,1,"['ANG',100],"
Burkina Faso ,OUA,,,,,,,,,,,,1,1,"['OUA',100],"
Burundi,BDI,,,,,,,,,1,1,1,1,1,"['BDI',100],"
Cameroon,CMR,,,,,,,,,,,,1,1,"['CMR',100],"
Chad ,TCD,,,,,,,,,,1,1,1,1,"['TCD',100],"
Cote d'Ivoire,CIV,,,,,,,,,,1,1,,,"['CIV',100],"
Djibouti,JIB,,,,,,,,,,,,1,1,"['JIB',100],"
DRC,COD,,,,,,,,,,,1,1,1,"['COD',100],"
Egypt,EGY,,,,,,,1,1,1,1,1,1,1,"['EGY',100],"
Ethiopia,ETH,,,,,1,1,1,1,1,1,1,1,1,"['ETH',100],"
Guinea,GIN,,,,,,,,,,,,1,,"['GIN',100],"
Kenya,KEN,,,1,1,1,1,1,1,1,1,1,1,1,"['KEN',100],"
Liberia,LBR,,,,,,,,,,1,,,,"['LBR',100],"
Malawi,MWI,,,,,,,,1,1,1,1,1,1,"['MWI',100],"
Malaysia,MYS,,,,,,,,,,,,1,1,"['MYS',100],"
Mozambique,MOZ,,,,,,,1,1,1,1,,,1,"['MOZ',100],"
Namibia,NAM,,,,,,,,,1,1,1,,,"['NAM',100],"
Niger,NER,,,,,,,,,,,,1,1,"['NER',100],"
Rwanda,RWA,,,,,,,,,,1,1,1,1,"['RWA',100],"
Senegal,SEN,,,,,,,,,,,,1,1,"['SEN',100],"
South Africa,ZAF,,,,,,1,1,1,1,1,1,1,1,"['ZAF',100],"
Sudan,SDN,,,,,,1,1,1,,,,1,1,"['SDN',100],"
Switzerland,CHE,,,,,,,,,,1,1,,,"['CHE',100],"
Tanzania,TZA,,,,,,,,,1,1,1,,,"['TZA',100],"
Togo ,TGO,,,,,,,,,,,,1,1,"['TGO',100],"
Uganda,UGA,,,,,,1,1,,1,1,,1,1,"['UGA',100],"
Zambia,ZMB,,,,,,,,,,1,1,1,1,"['ZMB',100],"
Zimbabwe,ZWE,,,,,,1,1,,,,,,,"['ZWE',100],"
